sheet,cell,formula,cached_value
CostMath,T57,"SUM(T56,E51)",410000
CostMath,K58,"SUM(K57,E41)",1000
CostMath,K59,"SUM(K58,E42)",1500
CostMath,K60,"SUM(K59,E43)",2100
CostMath,K61,"SUM(K60,E44)",2800
CostMath,K62,"SUM(K61,E45)",3600
CostMath,J63,SUM(J55:J62),9620
CostMath,M63,SUM(M54:M61),1
CostMath,S65,SUM(S57:S64),63850
CostMath,L96,(N37*W96),60
CostMath,M96,O37,500
CostMath,N96,(M96+L96),560
CostMath,O96,Q37,120000
CostMath,Q96,SUM(O96:P96),280000
CostMath,R96,T37,0
CostMath,T96,V37,1
CostMath,X96,C37,60
CostMath,Y96,F37,120000
CostMath,L97,(L96*2)+X97,220
CostMath,O97,(O96*2)+F37,360000
CostMath,P97,R38,410000
CostMath,R97,(R96*2)+E38,100
CostMath,T97,"SUM(T96,S97)",3
CostMath,U97,"SUM(U96,W97)",3
CostMath,V97,"SUM(V96,W97)",3
CostMath,L98,((X96*3)+(X97*2)+X98),530
CostMath,O98,((Y96*W98)+(Y97*W97)+Y98),930000
CostMath,R98,R97+SUM(E38:E39),400
CostMath,L99,((X96*W99)+(X97*W98)+(X98*W97)+X99),1050
CostMath,O99,((Y96*W99)+(Y97*W98)+(Y98*W97)+Y99),1820000
CostMath,R99,R98+SUM(E38:E40),1000
CostMath,L100,((X96*W100)+(X97*W99)+(X98*W98)+(X99*W97)+X100),1850
CostMath,O100,((Y96*W100)+(Y97*W99)+(Y98*W98)+(Y99*W97)+Y100),3200000
CostMath,R100,R99+SUM(E38:E41),2000
CostMath,L101,((X96*W101)+(X97*W100)+(X98*W99)+(X99*W98)+(X100*W97)+X101),3010
CostMath,O101,((Y96*W101)+(Y97*W100)+(Y98*W99)+(Y99*W98)+(Y100*W97)+Y101),5220000
CostMath,R101,R100+SUM(E38:E42),3500
CostMath,L102,((X96*W102)+(X97*W101)+(X98*W100)+(X99*W99)+(X100*W98)+(W97*X101)+X102),4620
CostMath,O102,((Y96*W102)+(Y97*W101)+(Y98*W100)+(Y99*W99)+(Y100*W98)+(W97*Y101)+Y102),8050000
CostMath,R102,R101+SUM(E38:E43),5600
CostMath,L103,((X96*W103)+(X97*W102)+(X98*W101)+(X99*W100)+(X100*W99)+(X101*W98)+(X102*W97)+X103),6790
CostMath,O103,((Y96*W103)+(Y97*W102)+(Y98*W101)+(Y99*W100)+(Y100*W99)+(Y101*W98)+(Y102*W97)+Y103),11880000
CostMath,R103,R102+SUM(E38:E44),8400
CostMath,L104,((X96*W104)+(X97*W103)+(X98*W102)+(X99*W101)+(X100*W100)+(X101*W99)+(X102*W98)+(X103*W97)+X104),9680
CostMath,O104,((Y96*W104)+(Y97*W103)+(Y98*W102)+(Y99*W101)+(Y100*W100)+(Y101*W99)+(Y102*W98)+(Y103*W97)+Y104),16920000
CostMath,R104,R103+SUM(E38:E45),12000
CostMath,L107,N104,28330
CostMath,M107,Q104,23340000
CostMath,L110,L107 + (C122*Q107),30940
CostMath,N110,R104,12000
CostMath,Q110,Q107,45
CostMath,S110,Q110*2,90
CostMath,U110,Q110*2,90
CostMath,W110,U110*2,180
CostMath,Y110,U110*2,180
CostMath,AA110,Y110*2,360
CostMath,AC110,Z110*2,360
CostMath,AD110,Z110*2,360
CostMath,AE110,Z110*2,360
CostMath,AF110,Z110*2,360
CostMath,H113,"MULTIPLY(D110,2)",2
CostMath,H116,"MULTIPLY(D113,2)",2
CostMath,H119,"MULTIPLY(D116,2)",2
CostMath,C122,"SUM(H110,L113,P116,T119)",58
CostMath,F122,"MULTIPLY(C122,9)",522
CostMath,M122,K122+L122,360
CostMath,P122,N122+O122,240000
CostMath,F125,((23*1)+(23*2)+(5*6)+(2*20)+60),199
CostMath,C135,(($Y135+$X135)*$K$126)+(($U135+$T135)*$K$125)+(($Q135+$P135)*$K$124)+($M135*$K$123)+$K$122,199
CostMath,D135,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K135)),730
CostMath,E135,C135+D135,929
CostMath,F135,(($X135+$X135)*$N$126)+(($U135+$T135)*$N$125)+(($Q135+$P135)*$N$124)+($M135*$N$123)+$N$122,264000
CostMath,G135,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K135)),270000
CostMath,H135,F135+G135,534000
CostMath,K135,SUM(K136:K137),2
CostMath,N136,L136+1,1
CostMath,O136,M136,1
CostMath,P136,L136+M136,1
CostMath,Q136,L136+M136+1,2
CostMath,R136,P136*2+1,3
CostMath,S136,Q136*2,4
CostMath,U136,S136*2+1,9
CostMath,V136,T136,6
CostMath,AA136,Z136,6
CostMath,AB136,Y136,9
CostMath,AC136,AB136,9
CostMath,N137,L137,
CostMath,Q137,L137+M137,1
CostMath,R137,P137*2,2
CostMath,V137,T137,4
CostMath,C138,(($Y138+$X138)*$K$126)+(($U138+$T138)*$K$125)+(($Q138+$P138)*$K$124)+($M138*$K$123)+$K$122,199
CostMath,D138,($L$125*0)+($L$124*1)+($L$123*2)+($L$122*(K138)),830
CostMath,E138,C138+D138,1029
CostMath,F138,(($X138+$X138)*$N$126)+(($U138+$T138)*$N$125)+(($Q138+$P138)*$N$124)+($M138*$N$123)+$N$122,264000
CostMath,G138,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K138)),270000
CostMath,H138,F138+G138,534000
CostMath,K138,SUM(K139:K140),2
CostMath,N139,L139+1,1
CostMath,O139,M139,1
CostMath,P139,L139+M139,1
CostMath,Q139,L139+M139+1,2
CostMath,R139,P139*2+1,3
CostMath,S139,Q139*2,4
CostMath,U139,S139*2+1,9
CostMath,V139,T139,6
CostMath,AA139,Z139,6
CostMath,AB139,Y139,9
CostMath,AC139,AB139,9
CostMath,N140,L140,
CostMath,Q140,L140+M140,1
CostMath,R140,P140*2,2
CostMath,V140,T140,4
CostMath,C141,(($Y141+$X141)*$K$126)+(($U141+$T141)*$K$125)+(($Q141+$P141)*$K$124)+($M141*$K$123)+$K$122,60
CostMath,D141,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K141)),130
CostMath,E141,C141+D141,190
CostMath,F141,(($X141+$X141)*$N$126)+(($U141+$T141)*$N$125)+(($Q141+$P141)*$N$124)+($M141*$N$123)+$N$122,120000
CostMath,G141,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K141)),30000
CostMath,H141,F141+G141,150000
CostMath,K141,SUM(K142:K143),0
CostMath,C144,(($Y144+$X144)*$K$126)+(($U144+$T144)*$K$125)+(($Q144+$P144)*$K$124)+($M144*$K$123)+$K$122,60
CostMath,D144,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K144)),130
CostMath,E144,C144+D144,190
CostMath,F144,(($X144+$X144)*$N$126)+(($U144+$T144)*$N$125)+(($Q144+$P144)*$N$124)+($M144*$N$123)+$N$122,120000
CostMath,G144,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K144)),30000
CostMath,H144,F144+G144,150000
CostMath,K144,SUM(K145:K146),0
CostMath,C147,(($Y147+$X147)*$K$126)+(($U147+$T147)*$K$125)+(($Q147+$P147)*$K$124)+($M147*$K$123)+$K$122,60
CostMath,D147,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K147)),130
CostMath,E147,C147+D147,190
CostMath,F147,(($X147+$X147)*$N$126)+(($U147+$T147)*$N$125)+(($Q147+$P147)*$N$124)+($M147*$N$123)+$N$122,120000
CostMath,G147,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K147)),30000
CostMath,H147,F147+G147,150000
CostMath,L147,SUM(L148:L149),0
CostMath,C150,(($Y150+$X150)*$K$126)+(($U150+$T150)*$K$125)+(($Q150+$P150)*$K$124)+($M150*$K$123)+$K$122,60
CostMath,D150,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K150)),130
CostMath,E150,C150+D150,190
CostMath,F150,(($X150+$X150)*$N$126)+(($U150+$T150)*$N$125)+(($Q150+$P150)*$N$124)+($M150*$N$123)+$N$122,120000
CostMath,G150,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K150)),30000
CostMath,H150,F150+G150,150000
CostMath,K150,SUM(K151:K152),0
CostMath,C153,(($Y153+$X153)*$K$126)+(($U153+$T153)*$K$125)+(($Q153+$P153)*$K$124)+($M153*$K$123)+$K$122,60
CostMath,D153,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K153)),130
CostMath,E153,C153+D153,190
CostMath,F153,(($X153+$X153)*$N$126)+(($U153+$T153)*$N$125)+(($Q153+$P153)*$N$124)+($M153*$N$123)+$N$122,120000
CostMath,G153,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K153)),30000
CostMath,H153,F153+G153,150000
CostMath,K153,SUM(K154:K155),0
CostMath,C156,(($Y156+$X156)*$K$126)+(($U156+$T156)*$K$125)+(($Q156+$P156)*$K$124)+($M156*$K$123)+$K$122,60
CostMath,D156,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K156)),130
CostMath,E156,C156+D156,190
CostMath,F156,(($X156+$X156)*$N$126)+(($U156+$T156)*$N$125)+(($Q156+$P156)*$N$124)+($M156*$N$123)+$N$122,120000
CostMath,G156,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K156)),30000
CostMath,H156,F156+G156,150000
CostMath,K156,SUM(K157:K158),0
CostMath,C159,(($Y159+$X159)*$K$126)+(($U159+$T159)*$K$125)+(($Q159+$P159)*$K$124)+($M159*$K$123)+$K$122,60
CostMath,D159,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K159)),130
CostMath,E159,C159+D159,190
CostMath,F159,(($X159+$X159)*$N$126)+(($U159+$T159)*$N$125)+(($Q159+$P159)*$N$124)+($M159*$N$123)+$N$122,120000
CostMath,G159,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K159)),30000
CostMath,H159,F159+G159,150000
CostMath,K159,SUM(K160:K161),0
CostMath,C162,(($Y162+$X162)*$K$126)+(($U162+$T162)*$K$125)+(($Q162+$P162)*$K$124)+($M162*$K$123)+$K$122,60
CostMath,D162,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K162)),130
CostMath,E162,C162+D162,190
CostMath,F162,(($X162+$X162)*$N$126)+(($U162+$T162)*$N$125)+(($Q162+$P162)*$N$124)+($M162*$N$123)+$N$122,120000
CostMath,G162,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K162)),30000
CostMath,H162,F162+G162,150000
CostMath,K162,SUM(K163:K164),0
CostMath,C165,(($Y165+$X165)*$K$126)+(($U165+$T165)*$K$125)+(($Q165+$P165)*$K$124)+($M165*$K$123)+$K$122,60
CostMath,D165,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K165)),130
CostMath,E165,C165+D165,190
CostMath,F165,(($X165+$X165)*$N$126)+(($U165+$T165)*$N$125)+(($Q165+$P165)*$N$124)+($M165*$N$123)+$N$122,120000
CostMath,G165,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K165)),30000
CostMath,H165,F165+G165,150000
CostMath,K165,SUM(K166:K167),0
CostMath,C168,(($Y168+$X168)*$K$126)+(($U168+$T168)*$K$125)+(($Q168+$P168)*$K$124)+($M168*$K$123)+$K$122,60
CostMath,D168,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K168)),130
CostMath,E168,C168+D168,190
CostMath,F168,(($X168+$X168)*$N$126)+(($U168+$T168)*$N$125)+(($Q168+$P168)*$N$124)+($M168*$N$123)+$N$122,120000
CostMath,G168,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K168)),30000
CostMath,H168,F168+G168,150000
CostMath,K168,SUM(K169:K170),0
CostMath,C171,(($Y171+$X171)*$K$126)+(($U171+$T171)*$K$125)+(($Q171+$P171)*$K$124)+($M171*$K$123)+$K$122,60
CostMath,D171,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K171)),130
CostMath,E171,C171+D171,190
CostMath,F171,(($X171+$X171)*$N$126)+(($U171+$T171)*$N$125)+(($Q171+$P171)*$N$124)+($M171*$N$123)+$N$122,120000
CostMath,G171,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K171)),30000
CostMath,H171,F171+G171,150000
CostMath,K171,SUM(K172:K173),0
CostMath,C174,(($Y174+$X174)*$K$126)+(($U174+$T174)*$K$125)+(($Q174+$P174)*$K$124)+($M174*$K$123)+$K$122,60
CostMath,D174,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K174)),130
CostMath,E174,C174+D174,190
CostMath,F174,(($X174+$X174)*$N$126)+(($U174+$T174)*$N$125)+(($Q174+$P174)*$N$124)+($M174*$N$123)+$N$122,120000
CostMath,G174,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K174)),30000
CostMath,H174,F174+G174,150000
CostMath,K174,SUM(K175:K176),0
CostMath,C177,(($Y177+$X177)*$K$126)+(($U177+$T177)*$K$125)+(($Q177+$P177)*$K$124)+($M177*$K$123)+$K$122,60
CostMath,D177,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K177)),130
CostMath,E177,C177+D177,190
CostMath,F177,(($X177+$X177)*$N$126)+(($U177+$T177)*$N$125)+(($Q177+$P177)*$N$124)+($M177*$N$123)+$N$122,120000
CostMath,G177,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K177)),30000
CostMath,H177,F177+G177,150000
CostMath,K177,SUM(K178:K179),0
CostMath,C180,(($Y180+$X180)*$K$126)+(($U180+$T180)*$K$125)+(($Q180+$P180)*$K$124)+($M180*$K$123)+$K$122,60
CostMath,D180,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K180)),130
CostMath,E180,C180+D180,190
CostMath,F180,(($X180+$X180)*$N$126)+(($U180+$T180)*$N$125)+(($Q180+$P180)*$N$124)+($M180*$N$123)+$N$122,120000
CostMath,G180,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K180)),30000
CostMath,H180,F180+G180,150000
CostMath,K180,SUM(K181:K182),0
CostMath,C183,(($Y183+$X183)*$K$126)+(($U183+$T183)*$K$125)+(($Q183+$P183)*$K$124)+($M183*$K$123)+$K$122,60
CostMath,D183,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K183)),130
CostMath,E183,C183+D183,190
CostMath,F183,(($X183+$X183)*$N$126)+(($U183+$T183)*$N$125)+(($Q183+$P183)*$N$124)+($M183*$N$123)+$N$122,120000
CostMath,G183,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K183)),30000
CostMath,H183,F183+G183,150000
CostMath,K183,SUM(K184:K185),0
CostMath,C186,(($Y186+$X186)*$K$126)+(($U186+$T186)*$K$125)+(($Q186+$P186)*$K$124)+($M186*$K$123)+$K$122,60
CostMath,D186,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K186)),130
CostMath,E186,C186+D186,190
CostMath,F186,(($X186+$X186)*$N$126)+(($U186+$T186)*$N$125)+(($Q186+$P186)*$N$124)+($M186*$N$123)+$N$122,120000
CostMath,G186,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K186)),30000
CostMath,H186,F186+G186,150000
CostMath,K186,SUM(K187:K188),0
CostMath,C189,(($Y189+$X189)*$K$126)+(($U189+$T189)*$K$125)+(($Q189+$P189)*$K$124)+($M189*$K$123)+$K$122,60
CostMath,D189,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K189)),130
CostMath,E189,C189+D189,190
CostMath,F189,(($X189+$X189)*$N$126)+(($U189+$T189)*$N$125)+(($Q189+$P189)*$N$124)+($M189*$N$123)+$N$122,120000
CostMath,G189,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K189)),30000
CostMath,H189,F189+G189,150000
CostMath,K189,SUM(K190:K191),0
CostMath,C192,(($Y192+$X192)*$K$126)+(($U192+$T192)*$K$125)+(($Q192+$P192)*$K$124)+($M192*$K$123)+$K$122,60
CostMath,D192,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K192)),130
CostMath,E192,C192+D192,190
CostMath,F192,(($X192+$X192)*$N$126)+(($U192+$T192)*$N$125)+(($Q192+$P192)*$N$124)+($M192*$N$123)+$N$122,120000
CostMath,G192,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K192)),30000
CostMath,H192,F192+G192,150000
CostMath,K192,SUM(K193:K194),0
CostMath,C195,(($Y195+$X195)*$K$126)+(($U195+$T195)*$K$125)+(($Q195+$P195)*$K$124)+($M195*$K$123)+$K$122,60
CostMath,D195,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K195)),130
CostMath,E195,C195+D195,190
CostMath,F195,(($X195+$X195)*$N$126)+(($U195+$T195)*$N$125)+(($Q195+$P195)*$N$124)+($M195*$N$123)+$N$122,120000
CostMath,G195,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K195)),30000
CostMath,H195,F195+G195,150000
CostMath,K195,SUM(K196:K197),0
CostMath,C198,(($Y198+$X198)*$K$126)+(($U198+$T198)*$K$125)+(($Q198+$P198)*$K$124)+($M198*$K$123)+$K$122,60
CostMath,D198,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K198)),130
CostMath,E198,C198+D198,190
CostMath,F198,(($X198+$X198)*$N$126)+(($U198+$T198)*$N$125)+(($Q198+$P198)*$N$124)+($M198*$N$123)+$N$122,120000
CostMath,G198,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K198)),30000
CostMath,H198,F198+G198,150000
CostMath,K198,SUM(K199:K200),0
CostMath,C201,(($Y201+$X201)*$K$126)+(($U201+$T201)*$K$125)+(($Q201+$P201)*$K$124)+($M201*$K$123)+$K$122,60
CostMath,D201,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K201)),130
CostMath,E201,C201+D201,190
CostMath,F201,(($X201+$X201)*$N$126)+(($U201+$T201)*$N$125)+(($Q201+$P201)*$N$124)+($M201*$N$123)+$N$122,120000
CostMath,G201,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K201)),30000
CostMath,H201,F201+G201,150000
CostMath,K201,SUM(K202:K203),0
CostMath,C204,(($Y204+$X204)*$K$126)+(($U204+$T204)*$K$125)+(($Q204+$P204)*$K$124)+($M204*$K$123)+$K$122,60
CostMath,D204,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K204)),130
CostMath,E204,C204+D204,190
CostMath,F204,(($X204+$X204)*$N$126)+(($U204+$T204)*$N$125)+(($Q204+$P204)*$N$124)+($M204*$N$123)+$N$122,120000
CostMath,G204,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K204)),30000
CostMath,H204,F204+G204,150000
CostMath,K204,SUM(K205:K206),0
CostMath,C207,(($Y207+$X207)*$K$126)+(($U207+$T207)*$K$125)+(($Q207+$P207)*$K$124)+($M207*$K$123)+$K$122,60
CostMath,D207,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K207)),130
CostMath,E207,C207+D207,190
CostMath,F207,(($X207+$X207)*$N$126)+(($U207+$T207)*$N$125)+(($Q207+$P207)*$N$124)+($M207*$N$123)+$N$122,120000
CostMath,G207,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K207)),30000
CostMath,H207,F207+G207,150000
CostMath,K207,SUM(K208:K209),0
CostMath,C210,(($Y210+$X210)*$K$126)+(($U210+$T210)*$K$125)+(($Q210+$P210)*$K$124)+($M210*$K$123)+$K$122,60
CostMath,D210,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K210)),130
CostMath,E210,C210+D210,190
CostMath,F210,(($X210+$X210)*$N$126)+(($U210+$T210)*$N$125)+(($Q210+$P210)*$N$124)+($M210*$N$123)+$N$122,120000
CostMath,G210,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K210)),30000
CostMath,H210,F210+G210,150000
CostMath,K210,SUM(K211:K212),0
CostMath,C213,(($Y213+$X213)*$K$126)+(($U213+$T213)*$K$125)+(($Q213+$P213)*$K$124)+($M213*$K$123)+$K$122,60
CostMath,D213,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K213)),130
CostMath,E213,C213+D213,190
CostMath,F213,(($X213+$X213)*$N$126)+(($U213+$T213)*$N$125)+(($Q213+$P213)*$N$124)+($M213*$N$123)+$N$122,120000
CostMath,G213,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K213)),30000
CostMath,H213,F213+G213,150000
CostMath,K213,SUM(K214:K215),0
CostMath,C216,(($Y216+$X216)*$K$126)+(($U216+$T216)*$K$125)+(($Q216+$P216)*$K$124)+($M216*$K$123)+$K$122,60
CostMath,D216,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K216)),130
CostMath,E216,C216+D216,190
CostMath,F216,(($X216+$X216)*$N$126)+(($U216+$T216)*$N$125)+(($Q216+$P216)*$N$124)+($M216*$N$123)+$N$122,120000
CostMath,G216,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K216)),30000
CostMath,H216,F216+G216,150000
CostMath,K216,SUM(K217:K218),0
CostMath,C219,(($Y219+$X219)*$K$126)+(($U219+$T219)*$K$125)+(($Q219+$P219)*$K$124)+($M219*$K$123)+$K$122,60
CostMath,D219,($L$125*0)+($L$124*1)+($L$123*1)+($L$122*(K219)),130
CostMath,E219,C219+D219,190
CostMath,F219,(($X219+$X219)*$N$126)+(($U219+$T219)*$N$125)+(($Q219+$P219)*$N$124)+($M219*$N$123)+$N$122,120000
CostMath,G219,($O$125*0)+($O$124*1)+($O$123*1)+($O$122*(K219)),30000
CostMath,H219,F219+G219,150000
CostMath,K219,SUM(K220:K221),0
