id,name,tier_color,slot,hp,atk,def,rush,data_file
the_great_scientist,The Great Scientist,red,,1800,60,60,180,game/data/canonical/gear/the_great_scientist.json
thorn,Thorn,orange,,1000,20,20,20,game/data/canonical/gear/thorn.json
thunder_belt,Thunder Belt,red,,600,60,60,300,game/data/canonical/gear/thunder_belt.json
time_amulet,Time Amulet,orange,,1200,40,120,40,game/data/canonical/gear/time_amulet.json
time_blade,Time Blade,blue,,200,20,20,20,game/data/canonical/gear/time_blade.json
time_cog,Time Cog,green,,300,0,10,0,game/data/canonical/gear/time_cog.json
time_flute,Time Flute,purple,,200,20,20,20,game/data/canonical/gear/time_flute.json
time_hand,Time Hand,green,,0,30,0,10,game/data/canonical/gear/time_hand.json
time_wanderer,Time Wanderer,red,,1000,200,200,200,game/data/canonical/gear/time_wanderer.json
time_wheel,Time Wheel,blue,,100,30,10,30,game/data/canonical/gear/time_wheel.json
top_hat,Top Hat,gray,,0,20,0,0,game/data/canonical/gear/top_hat.json
traveler_outfit,Traveler Outfit,red,,1800,60,180,60,game/data/canonical/gear/traveler_outfit.json
tremendous_support,Tremendous Support,red,,600,60,60,300,game/data/canonical/gear/tremendous_support.json
trident,Trident,orange,,400,200,40,40,game/data/canonical/gear/trident.json
true_sakabato,True Sakabato,red,,600,300,60,60,game/data/canonical/gear/true_sakabato.json
tuxedo,Tuxedo,blue,,200,20,20,20,game/data/canonical/gear/tuxedo.json
twin_tip_dagger,Twin Tip Dagger,gray,,0,20,0,0,game/data/canonical/gear/twin_tip_dagger.json
undead_staff,Undead Staff,orange,,300,30,10,10,game/data/canonical/gear/undead_staff.json
virgo_tech,Virgo Tech,orange,,800,80,80,80,game/data/canonical/gear/virgo_tech.json
virtual_vision,Virtual Vision,red,,600,300,60,60,game/data/canonical/gear/virtual_vision.json
w_tadpole_sword,W-Tadpole Sword,red,,600,300,60,60,game/data/canonical/gear/w_tadpole_sword.json
walnut_wand,Walnut Wand,orange,,100,50,10,10,game/data/canonical/gear/walnut_wand.json
war_scythes,War Scythes,blue,,200,20,20,20,game/data/canonical/gear/war_scythes.json
warmonger_s_gun,Warmonger's Gun,red,,600,180,60,180,game/data/canonical/gear/warmonger_s_gun.json
warrior_ring,Warrior Ring,green,,50,15,5,15,game/data/canonical/gear/warrior_ring.json
white_pearl,White Pearl,green,,150,5,15,5,game/data/canonical/gear/white_pearl.json
windsor_s_cape,Windsor's cape,orange,,800,80,80,80,game/data/canonical/gear/windsor_s_cape.json
wisdom_cloak,Wisdom Cloak,orange,,800,80,80,80,game/data/canonical/gear/wisdom_cloak.json
wizard_ring,Wizard Ring,blue,,300,10,30,10,game/data/canonical/gear/wizard_ring.json
wooden_ring,Wooden Ring,gray,,100,0,10,0,game/data/canonical/gear/wooden_ring.json
workout_top,Workout Top,orange,,300,10,30,10,game/data/canonical/gear/workout_top.json
wu_scimitar,Wu Scimitar,green,,0,30,0,10,game/data/canonical/gear/wu_scimitar.json
