id,name,tierColor,hp,atk,def,rush,effect,origin,iconSrc,iconMissing
broken_caladbolg,Broken Caladbolg,orange,400,120,40,120,"In Dragon Form, Ignore Water RES +120<br>In Dragon Form, Ignore Wind RES +120",Defeat [[Altar Fights#Demon Lords,/kb/gear/icons/Broken_Caladbolg.png,False
broken_dragon_horn,Broken Dragon Horn,orange,400,120,40,120,"In Dragon Form, Ignore Fire RES +120<br>In Dragon Form, Ignore Earth RES +120",Defeat [[Altar Fights#Demon Lords,/kb/gear/icons/Broken_Dragon_Horn.png,False
butcher_s_hook,Butcher's Hook,orange,400,200,40,40,"In Snail Arena, DMG +12%<br>In Snail Arena, Round 1 DMG +8%",{{retext|Texan Chainsaw|purple,/kb/gear/icons/Butcher_s_Hook.png,False
chief,Chief,orange,400,40,200,40,Crit DMG reduction +8%,Divine Order Chest 0.2%,/kb/gear/icons/Chief.png,False
conqueror_spear,Conqueror Spear,orange,800,80,80,80,"In [[Cathay]], Snail ATK +96<br>In [[Cathay]], Snail RUSH +96",Reward for defeating [[Mailbox#Loyal Retainers,/kb/gear/icons/Conqueror_Spear.png,False
couple_swords,Couple Swords,orange,400,120,40,120,"In [[Cathay]], DMG +8%<br>In [[Cathay]], INTEL gained +8%",{{retext|7-Star-Blade|purple,/kb/gear/icons/Couple_Swords.png,False
crimson_dragon_claw,Crimson Dragon Claw,orange,200,60,20,60,In Dragon: Fire DMG +240,Reward upon [[Altar#Divine_Dragon,/kb/gear/icons/Crimson_Dragon_Claw.png,False
crown_of_power,Crown of Power,orange,400,40,40,40,FTH +80,Divine Chaos 0.4%,/kb/gear/icons/Crown_of_Power.png,False
crystal_of_will,Crystal of Will,orange,800,80,80,80,,• Reward of some [[Fissure]] incidents<br>• Reward of offering Gaia's Tainted Organs at the [[Altar]],/kb/gear/icons/Crystal_of_Will.png,False
curator_s_helmet,Curator's Helmet,orange,1200,40,120,40,"Enemies in explorations drop +16 W-tads<br>(Only when you are really lucky!)<br>Tadpoles Gained: 100,000",50k Museum Medals in [[Museum,/kb/gear/icons/Curator_s_Helmet.png,False
damascus_knife,Damascus Knife,orange,400,120,40,120,"In [[Kemet]], DMG +8%<br>In [[Kemet]], INTEL gained +8%",{{retext|Guardian's Longsword|purple,/kb/gear/icons/Damascus_Knife.png,False
death_shroud,Death Shroud,orange,500,10,10,10,Lifesteal Rate +2%<br>Lifesteal Effect +10%,Dracula victory reward,/kb/gear/icons/Death_Shroud.png,False
demon_god_crystal,Demon God Crystal,orange,800,80,80,80,,Currently only available from final Lucky Clover Round,/kb/gear/icons/Demon_God_Crystal.png,False
demon_scythe,Demon Scythe,orange,100,30,30,10,In Demon Form: Demon Cells +2%<br>Soul Chests +2%,Tier 3 Demon Research,/kb/gear/icons/Demon_Scythe.png,False
diver,Diver,orange,300,10,10,30,"In any Realm, 2x Demon God Cell Drops +2%",Divine Neutral Chest (0.8% chance),/kb/gear/icons/Diver.png,False
dragon_fang_dagger,Dragon Fang Dagger,orange,100,30,10,30,In Dragon Form: Gain +2% Cells<br>Gain 2% Dragon Chests in explorations,Tier 3 Dragon Research Reward,/kb/gear/icons/Dragon_Fang_Dagger.png,False
drazgul_fang,Drazgul Fang,orange,400,200,40,200,Poison DMG +240<br>Crit Rate +8%,Gear Value Pack III(100$!!!),/kb/gear/icons/Drazgul_Fang.png,False
dwarf_mask,Dwarf Mask,orange,50,5,25,5,"If you spot a weakness, Snail DEF +30",Lottery (0.75%),/kb/gear/icons/Dwarf_Mask.png,False
electric_hammer,Electric Hammer,orange,400,40,40,200,Wind DMG +240<br>Ignore Enemey Wind RES +120,Lottery 1.56%,/kb/gear/icons/Electric_Hammer.png,False
elegant_gloves,Elegant Gloves,orange,50,25,5,5,"If you spot a weakness, Snail ATK +30",Divine Order (1.6%),/kb/gear/icons/Elegant_Gloves.png,False
elven_cape,Elven Cape,orange,200,20,20,20,Snail ART +40,Divine Order 0.8%,/kb/gear/icons/Elven_Cape.png,False
eternal_empire_staff,Eternal Empire Staff,orange,800,80,80,80,"In [[Hellas]], Snail ATK +120<br>Snail DEF +120",{{retext|Caeser's Laurel|purple,/kb/gear/icons/Eternal_Empire_Staff.png,False
eternal_return,Eternal Return,orange,400,120,40,120,In the [[Time Rift,"Rift]], DMG +8%<br>In the [[Time Rift",/kb/gear/icons/Eternal_Return.png,False
excalibur,Excalibur,orange,400,200,40,40,ATK +160,Reward of defeating Excalibra<br>[[Altar#Discount_Dragon,/kb/gear/icons/Excalibur.png,False
eye_of_horus,Eye of Horus,orange,800,80,80,80,,• Lottery Machine (1.56% chance)<br>• Gear Chest (1.6% chance)<br>• Divine Chests (1.8% chance),/kb/gear/icons/Eye_of_Horus.png,False
fire_of_rage,Fire of Rage,orange,400,120,40,120,"In Dragon Form, Ignore DEF +8%",Defeat [[Altar Fights#Demon Lords,/kb/gear/icons/Fire_of_Rage.png,False
fossil,Fossil,orange,400,200,40,40,Earth DMG +240<br>Ignore Enemy Earth RES +120,Divine Chaos 0.2%,/kb/gear/icons/Fossil.png,False
gauss_c14,Gauss C14,orange,100,10,30,30,In Mecha Form: Mecha Cells +2%<br>Tool Chests +2% in explorations,Tier 3 Mecha Research,/kb/gear/icons/Gauss_C14.png,False
gear_ring,Gear Ring,orange,400,40,40,200,"When you enter a new area, gain +80 INTEL",Divine Order Chest (0.2% chance),/kb/gear/icons/Gear_Ring.png,False
genji_armor,Genji Armor,orange,800,80,80,80,"In [[Yamato]], Snail ATK +96<br>In [[Yamato]], Snail DEF +96",{{retext|Genji Gloves|purple,/kb/gear/icons/Genji_Armor.png,False
gold_outfit,Gold Outfit,orange,1200,40,120,40,ELMT DMG REDUC +4.8%,Defeat Agamemnon Mask Civilization Mirage,/kb/gear/icons/Gold_Outfit.png,False
hammer_of_frenzy,Hammer of Frenzy,orange,200,20,20,10,"Each round, Snail RUSH +16<br>Snail ATK +16",Divine Neutral (0.4%),/kb/gear/icons/Hammer_of_Frenzy.png,False
heaven_wings,Heaven Wings,orange,1200,40,120,40,,•{{retext|Seething Bracelet|purple,/kb/gear/icons/Heaven_Wings.png,False
horse_helmet,Horse Helmet,orange,800,80,80,80,"In [[Kemet]], Snail ATK +120<br>Snail RUSH +120",{{retext|Arabic Dagger|purple,/kb/gear/icons/Horse_Helmet.png,False
imitation_vision,Imitation Vision,orange,200,100,20,20,"In Gene Simulations, DMG +6%<br>Round 1 DMG +4%",Gene Training Value Pack II ($14.99),/kb/gear/icons/Imitation_Vision.png,False
indra_s_crown,Indra's Crown,orange,800,80,80,80,"In [[Bharata]], Snail ATK +120<br>Snail DEF +120",Exchange {{retext|Rosary|orange,/kb/gear/icons/Indra_s_Crown.png,False
indv_high_explosive_rifle,Indv. High-explosive Rifle,orange,400,120,40,120,"In [[Murika]], DMG +8%<br>In [[Murika]], INTEL gained +8%",{{retext|M4 Carbine|purple,/kb/gear/icons/Indv._High-explosive_Rifle.png,False
indv_power_armor,Indv. Power Armor,orange,800,80,80,80,"In [[Murika]], Snail ATK +96<br>In [[Murika]], Snail DEF +96",{{retext|Holograhic Tactical Glasses|purple,/kb/gear/icons/Indv._Power_Armor.png,False
iron_track,Iron Track,orange,100,10,10,50,Travel SPD +1.6%,Divine Order Chest (0.8% chance),/kb/gear/icons/Iron_Track.png,False
jade_saber,Jade Saber,orange,400,120,40,120,"In [[Parsia]], DMG +8%<br>In [[Parsia]], INTEL +8%",{{RewardIconWithText|Royal Wootz Blade|purple,/kb/gear/icons/Jade_Blade.png,False
jung_geun_s_gun,Jung-geun's Gun,orange,400,120,40,120,"In [[Koryeo]], DMG +8%<br>In [[Koryeo]], INTEL gained +8%",{{retext|Gas Mask|purple,/kb/gear/icons/Jung-geun_s_Gun.png,False
leather_chest_armor,Leather Chest Armor,orange,50,15,5,15,In Mutant: Crit DMG +2%,Divine Chaos (1.6%),/kb/gear/icons/Leather_Chest_Armor.png,False
leviathan_gloves,Leviathan Gloves,orange,200,100,20,20,Water DMG +120<br>Ignore Enemy Water RES +60,Divine Chaos (0.4%),/kb/gear/icons/Leviathan_Gloves.png,False
lifebuoy,Lifebuoy,orange,150,5,15,5,Water RES +30,Lottery 0.75%,/kb/gear/icons/Lifebuoy.png,False
lion_s_crown,Lion's Crown,orange,400,120,40,120,"In [[Britland]], DMG +8%<br>In [[Britland]], INTEL gained +8%<br>In [[Britland]], fleet cannon DMG +8%",{{retext|Shotgun Umbrella|purple,/kb/gear/icons/Lion_s_Crown.png,False
lizard_belt,Lizard Belt,orange,250,5,5,5,"If you spot a weakness, Snail HP +300",Divine Chaos (1.6%),/kb/gear/icons/Lizard_Belt.png,False
lotus_platform_ix,Lotus Platform IX,orange,1200,40,40,120,"In Angel Form, Regen 1,280 HP each round",{{retext|Lotus Platform VI|purple,/kb/gear/icons/Lotus_Platform.png,False
magician,Magician,orange,400,40,40,40,All RES +24,Divine Neutral 0.4%,/kb/gear/icons/Magician.png,False
mark_ii,Mark II,orange,100,10,30,30,In Mecha: DMG Reduction +2%,Lottery (0.71%),/kb/gear/icons/Mark_II.png,False
maze_key,Maze Key,orange,400,200,200,40,All Element DMG +48<br>All RES +24,Supreme Relic #8,/kb/gear/icons/Maze_Key.png,False
millennium_ring,Millennium Ring,orange,800,80,80,80,In the [[Time Rift,"Rift]], Snail ATK +120<br>In the [[Time Rift",/kb/gear/icons/Millennium_Ring.png,False
mind_control_dagger,Mind Control Dagger,orange,100,30,10,30,In Mutant form: Mutant Cells +2%<br>Time Chests +2% in exploration,Tier 3 Mutant Research,/kb/gear/icons/Mind_Control_Dagger.png,False
nun_chuck,Nun-chuck,orange,100,50,10,10,Ignore enemy DEF +2%,Defeat Sewer Turtle #4,/kb/gear/icons/Nun-chuck.png,False
peacock_quill,Peacock Quill,orange,200,100,20,100,"For Round 1, CRIT DMG +4%<br>In any Realm DMG +6% in Round 1",Reward of unlocking Peackock Throne,/kb/gear/icons/Peacock_Quill.png,False
pirate,Pirate,orange,300,10,30,10,"Enemies in Explorations drop +20 B-tads<br>Tadpoles Gained:2,600,000",Divine Chaos Chest (0.8% chance),/kb/gear/icons/Pirate.png,False
power_armor,Power Armor,orange,800,80,80,80,TECH +160,Divine Chaos 0.2%,/kb/gear/icons/Power_Armor.png,False
prayer_staff,Prayer Staff,orange,300,10,10,30,In Angel Form: Angel Cells +2%<br>Fungus Chests +2%,Tier 3 Angel Research,/kb/gear/icons/Prayer_Staff.png,False
pulse_rifle,Pulse Rifle,orange,100,50,10,10,Fire DMG +60<br>Ignore Fire RES +30,defeating UFO(40 incense shots),/kb/gear/icons/Pulse_Rifle.png,False
ring_of_stupor,Ring of Stupor,orange,200,20,20,100,Chance to Paralysis enemy +2.4%,Hitman 15 victory reward,/kb/gear/icons/Ring_of_Stupor.png,False
rock,Rock,orange,50,5,25,5,Earth RES +30,Lottery 0.75%,/kb/gear/icons/Rock.png,False
sailor_suit,Sailor Suit,orange,100,10,10,10,"Per 10% HP lost, Snail ATK +30<br>Per 10% HP lost, Snail DEF +30",Defeat [[Incense#Special Incense Events,/kb/gear/icons/Sailor_Suit.png,False
saint_s_earring,Saint's Earring,orange,400,40,40,40,FTH +80,Divine Order 0.4%,/kb/gear/icons/Saint_s_Earring.png,False
sakabato_blade,Sakabato Blade,orange,100,50,10,10,"In Hitman Challenge: DMG +3%, 1st round DMG +2%",Intercept [[Hitmen,/kb/gear/icons/Sakabato_Blade.png,False
slippers,Slippers,orange,50,5,5,25,"If you spot a weakness, Snail RUSH +30",Divine Neutral (1.6%),/kb/gear/icons/Slippers.png,False
spring_longsword,Spring Longsword,orange,200,10,20,20,Crit Rate +4%<br>Crit DMG +4%,Lottery (0.52%),/kb/gear/icons/Spring_Longsword.png,False
stage_hat,Stage Hat,orange,100,10,10,10,"FTH +5, ART +5, CIV +5, TECH +5, FAME +5",Divine Order chest 1.6%,/kb/gear/icons/Stage_Hat.png,False
stardust_arrow,Stardust Arrow,orange,400,120,40,120,"In [[Hellas]], INTEL gained +8%<br>In [[Hellas]], DMG +8%<br>Every Costume Stat +8%",{{retext|Hector's Spear|purple,/kb/gear/icons/Stardust_Arrow.png,False
static_belt,Static Belt,orange,50,5,5,25,Wind RES +30,Divine Neutral 1.6%,/kb/gear/icons/Static_Belt.png,False
strength_sword,Strength Sword,orange,50,25,5,5,"In any Realm, DMG +1.5%<br>In any Realm, DMG +1% in Round 1",Intercept [[Hitmen,/kb/gear/icons/Strength_Sword.png,False
strong_round_shield,Strong Round Shield,orange,100,10,50,10,DMG REDUC +1.6%,Divine Neutral 0.8%,/kb/gear/icons/Strong_Round_Shield.png,False
teslla,Teslla,orange,600,20,20,60,"In any Realm, 2x Time Chest Drops +4%",{{retext|Lottery Bead Purple|purple,/kb/gear/icons/Teslla.png,False
the_buried,The Buried,orange,300,30,10,10,In Zombie: Ingore DEF +2%,Divine Chaos(0.8%),/kb/gear/icons/The_Buried.png,False
thorn,Thorn,orange,1000,20,20,20,Fire RES +120,Divine Order Chest 0.4%,/kb/gear/icons/Thorn.png,False
time_amulet,Time Amulet,orange,1200,40,120,40,HP Regen +640 each round,Defeat Eye of Akamoddo Civilization Mirage,/kb/gear/icons/Time_Amulet.png,False
trident,Trident,orange,400,200,40,40,Crit DMG +8%<br>Lifesteal Effect +40%,{{retext|Dim Godsmiter|purple,/kb/gear/icons/Trident.png,False
undead_staff,Undead Staff,orange,300,30,10,10,In Zombie Form: Zombie Cells +2%<br>Evolution Chests +2%,Tier 3 Zombie Research,/kb/gear/icons/Undead_Staff.png,False
virgo_tech,Virgo Tech,orange,800,80,80,80,"In [[Koryeo]], Snail ATK +96<br>In [[Koryeo]], Snail RUSH +96",Reward for defeating [[Mailbox#Koryeon Commissioner,/kb/gear/icons/Virgo_Tech.png,False
walnut_wand,Walnut Wand,orange,100,50,10,10,"Fire, Water, Earth, Wind DMG +30",Old Wizard victory reward,/kb/gear/icons/Walnut_Wand.png,False
windsor_s_cape,Windsor's cape,orange,800,80,80,80,"In [[Britland]], Snail ATK +96<br>In [[Britland]], Snail RUSH +96",Exchange {{retext|Anchor|orange,/kb/gear/icons/Windsor_s_cape.png,False
wisdom_cloak,Wisdom Cloak,orange,800,80,80,80,Snail CIV +160,Divine Neutral 0.2%,/kb/gear/icons/Wisdom_Cloak.png,False
workout_top,Workout Top,orange,300,10,30,10,Dodge Rate +2%,Lottery 0.71%,/kb/gear/icons/Workout_Top.png,False
agamemnon_outfit,Agamemnon Outfit,red,3000,100,300,100,ELMT DMG REDUC +7.2%,{{retext|Gold Outfit|orange,/kb/gear/icons/Agamemnon_Outfit.png,False
amulet_of_will,Amulet of Will,red,1200,120,120,120,,{{retext|Crystal of Will|orange,/kb/gear/icons/Amulet_of_Will.png,False
amulet_of_will_1,Amulet of Will +1,red,2000,200,200,200,,{{retext|Amulet of Will|red,/kb/gear/icons/Amulet_of_Will.png,False
ancestral_legacy,Ancestral Legacy,red,600,60,300,60,"If you spot a weakness, Snail DEF +360",{{retext|Dwarf Mask|orange,/kb/gear/icons/Ancestral_Legacy.png,False
antimatter_armor,Antimatter Armor,red,1200,120,120,120,Snail TECH +240,{{retext|Power Armor|orange,/kb/gear/icons/Antimatter_Armor.png,False
antimatter_shield,Antimatter Shield,red,600,60,300,60,DEF +96 per round,{{retext|Alloy Shield|orange,/kb/gear/icons/Antimatter_Shield.png,False
athena_s_spear,Athena's Spear,red,600,180,60,180,"In [[Hellas]], Snail ATK +120<br>In [[Hellas]], Snail DEF +120<br>In [[Hellas]], DMG +12%<br>In [[Hellas]], INTEL gained +12%<br>Every Costume Stat +12%",{{retext|Stardust Arrow|orange,/kb/gear/icons/Athena_s_Spear.png,False
azazel_s_pact,Azazel's Pact,red,600,180,180,60,In Demon: Crit Rate +12%,{{retext|Azazel's Curse|orange,/kb/gear/icons/Azazel_s_Pact.png,False
bedrock,Bedrock,red,600,60,300,60,Earth RES +360,{{retext|Rock|orange,/kb/gear/icons/Bedrock.png,False
big_bounce,Big Bounce,red,600,300,60,60,Crit Rate +12%<br>Crit DMG +12%,{{retext|Spring Longsword|orange,/kb/gear/icons/Big_Bounce.png,False
blair_s_curse,Blair's Curse,red,600,300,60,60,"In Snail Arena, DMG +18%<br>In Snail Arena, Round 1 DMG +12%",{{retext|Butcher's Hook|orange,/kb/gear/icons/Blair_s_Curse.png,False
bullet_storm,Bullet Storm,red,600,180,60,180,"In [[Murika]], Snail ATK +120<br>In [[Murika]], Snail RUSH +120<br>In [[Murika]], DMG +12%<br>In [[Murika]], INTEL gained +12%",{{retext|Indv. Power Armor|orange,/kb/gear/icons/Bullet_Storm.png,False
caesar_s_crown,Caesar's Crown,red,1200,120,120,120,Snail TECH +240,{{retext|Crown of Power|orange,/kb/gear/icons/Caesar_s_Crown.png,False
caladbolg,Caladbolg,red,600,180,60,180,"In Dragon Form, Ignore Water RES +180<br>In Dragon Form, Ignore Wind RES +180",{{retext|Broken Caladbolg|orange,/kb/gear/icons/Caladbolg.png,False
centaur_armor,Centaur Armor,red,600,180,60,180,"In Mutant Form, Crit DMG +24%",{{retext|Leather Chest Armor|orange,/kb/gear/icons/Centaur_Armor.png,False
claw_of_destruction,Claw of Destruction,red,600,180,60,180,In Dragon: Fire DMG +720,{{retext|Crimson Dragon Claw|orange,/kb/gear/icons/Claw_of_Destruction.png,False
cretaceous_weapon,Cretaceous Weapon,red,600,300,60,60,Earth DMG +360<br>Ignore Earth RES +180,{{retext|Fossil|orange,/kb/gear/icons/Cretaceous_Weapon.png,False
crown_of_eternal_daylight,Crown of Eternal Daylight,red,600,180,60,180,"In [[Britland]], Snail ATK +150<br>In [[Britland]], Snail RUSH +150<br>In [[Britland]], DMG +12%<br>In [[Britland]], INTEL gained +12%<br>In [[Britland]], fleet cannon DMG +12%",{{retext|Lion's Crown|orange,/kb/gear/icons/Crown_of_Eternal_Daylight.png,False
dark_strength,Dark Strength,red,600,300,60,60,"In Domain Duels (1v1), DMG +18%<br>In Domain Duels (1v1), DMG +12% for Round 1",{{retext|Anti-Strength Saber|orange,/kb/gear/icons/Dark_Strength.png,False
deepsea_helmet,Deepsea Helmet,red,1800,60,60,180,"In any Realm, 2x Demon God Cell Drops +12%",{{retext|Diver|orange,/kb/gear/icons/Deepsea_Helmet.png,False
demon_god_amulet,Demon God Amulet,red,1200,120,120,120,,{{retext|Demon God Crystal|orange,/kb/gear/icons/Demon_God_Amulet.png,False
district_9,District 9,red,600,300,60,60,Fire DMG +360<br>Ignore Fire RES +180,{{retext|Pulse Rifle|orange,/kb/gear/icons/District_9.png,False
dracula_cape,Dracula Cape,red,3000,60,60,60,Lifesteal Rate +12%<br>Lifesteal Effect +60%,{{retext|Death Shroud|orange,/kb/gear/icons/Dracula_Cape.png,False
dragon_horn,Dragon Horn,red,600,180,60,180,"In Dragon Form, Ignore Fire RES +180<br>In Dragon Form, Ignore Earth RES +180",{{retext|Dragon Horn|orange,/kb/gear/icons/Dragon_Horn.png,False
empress_gloves,Empress Gloves,red,600,300,60,60,"If you spot a weakness, Snail ATK +360",{{retext|Elegant Gloves|orange,/kb/gear/icons/Empress_Gloves.png,False
empress_slippers,Empress' Slippers,red,600,60,60,300,"If you spot a weakness, Snail RUSH +360",{{retext|Slippers|orange,/kb/gear/icons/Empress__Slippers.png,False
excaladbolg,Excaladbolg,red,1000,300,100,300,"In Dragon Form, Ignore DEF +12%<br>In Dragon Form, Ignore Fire RES +180<br>In Dragon Form, Ignore Water RES +180<br>In Dragon Form, Ignore Earth RES +180<br>In Dragon Form, Ignore Wind RES +180",{{retext|Exploding Rage|red,/kb/gear/icons/Excaladbolg.png,False
excalibur_ex,Excalibur EX,red,600,300,60,60,ATK +240,{{retext|Excalibur EX|orange,/kb/gear/icons/Excalibur_EX.png,False
exploding_rage,Exploding Rage,red,600,180,60,180,"In Dragon form, Ignore DEF +12%",{{retext|Fire of Rage|orange,/kb/gear/icons/Exploding_Rage.png,False
eye_of_akamoddo_amulet,Eye of Akamoddo Amulet,red,1800,60,180,60,Restore 960 HP each round,{{retext|Time Amulet|orange,/kb/gear/icons/Eye_of_Akamoddo_Amulet.png,False
fang_of_tiamat,Fang of Tiamat,red,600,180,60,180,In Dragon Form: Gain +12% Cells<br>Gain 12% Dragon Chests in explorations,{{retext|Dragon Fang Dagger|orange,/kb/gear/icons/Fang_of_Tiamat.png,False
fortress,Fortress,red,600,60,300,60,DMG Reduction +9.6%,{{retext|Strong Round Shield|orange,/kb/gear/icons/Fortress.png,False
gauss_m72,Gauss M72,red,600,60,180,180,In Mecha Form: Mecha Cells +12%<br>Tool Chests +12% in explorations,{{retext|Gauss C14|orange,/kb/gear/icons/Gauss_M72.png,False
gilded_belt,Gilded Belt,red,3000,60,60,60,"If you spot a weakness, Snail HP +3600",{{retext|Lizard Belt|orange,/kb/gear/icons/Gilded_Belt.png,False
golden_drazgul_fang,Golden Drazgul Fang,red,600,300,60,300,Poison DMG +360<br>Crit Rate +12%,{{retext|Drazgul Fang|orange,/kb/gear/icons/Golden_Drazgul_Fang.png,False
grandpire_s_robe,Grandpire's Robe,red,1200,120,120,120,"Per 10% HP lost, Snail ATK +360<br>Per 10% HP lost, Snail DEF +360",{{retext|Sailor Suit|orange,/kb/gear/icons/Grandpire_s_Robe.png,False
heart_of_nature,Heart of Nature,red,3000,60,60,60,Fire RES +360,{{retext|Thorn|orange,/kb/gear/icons/Heart_of_Nature.png,False
hydra_s_gloves,Hydra's Gloves,red,600,300,60,60,Water DMG +360<br>Ignore Water RES +180,{{retext|Leviathan Gloves|orange,/kb/gear/icons/Hydra_s_Gloves.png,False
incredible_key,Incredible Key,red,600,300,300,60,All Element DMG +72<br>All RES +36,{{retext|Maze Key|orange,/kb/gear/icons/Incredible_Key.png,False
know_it_all_device,Know-It-All Device,red,1200,120,120,120,Extra RUSH DMG +720,{{retext|Battle Detector|orange,/kb/gear/icons/Know-It-All_Device.png,False
lion_king_s_sword,Lion King's Sword,red,600,180,60,180,"In [[Kemet]], Snail ATK +150<br>In [[Kemet]], Snail RUSH +150<br>In [[Kemet]], Snail DMG +12%<br>In [[Kemet]], INTEL gained +12%",{{retext|Damascus Knife|orange,/kb/gear/icons/Lion_King_s_Sword.png,False
lotus_platform_xii,Lotus Platform XII,red,1800,60,60,180,"In Angel Form, Regen 1,920 HP each round",{{retext|Lotus Platform IX|orange,/kb/gear/icons/Lotus_Platform_XII.png,False
mark_iv,Mark IV,red,600,60,180,180,In Mecha: DMG Reduction +12%,{{retext|Mark II|orange,/kb/gear/icons/Mark_IV.png,False
michael_s_earrings,Michael's Earrings,red,1200,120,120,120,Snail FTH +240,{{retext|Saint's Earring|orange,/kb/gear/icons/Michael_s_Earrings.png,False
million_volts,Million Volts,red,600,60,60,300,Wind DMG +360<br>Ignore Enemy Wind RES +180,{{retext|Electric Hammer|orange,/kb/gear/icons/Million_Volts.png,False
mithraic_bow_and_spear,Mithraic Bow & Spear,red,600,180,60,180,"In [[Parsia]], ATK +150<br>In [[Parsia]], RUSH +150<br>In [[Parsia]], DMG +12%<br>in [[Parsia]], INTEL +12%",{{retext|Jade Spear|orange,/kb/gear/icons/__missing_gear_icon.svg,True
norris_chuck,Norris-chuck,red,600,300,60,60,Ignore enemy DEF +12%,{{retext|Nun-chuck|orange,/kb/gear/icons/Norris-chuck.png,False
ogma_s_cloak,Ogma's Cloak,red,1200,120,120,120,Snail CIV +240,{{retext|Wisdom Cloak|orange,/kb/gear/icons/Ogma_s_Cloak.png,False
oldman_wand,Oldman Wand,red,600,300,60,60,"Fire, Water, Earth, Wind DMG +240",{{retext|Walnut Wand|orange,/kb/gear/icons/Oldman_Wand.png,False
overlord_s_hook,Overlord's Hook,red,1800,60,180,60,"Enemies in exploration drop +120 B-tads<br>Tadpoles Gained: 3,200,000",{{retext|Pirate|orange,/kb/gear/icons/Overlord_s_Hook.png,False
poseidon_s_blessing,Poseidon's Blessing,red,1800,60,180,60,Water RES +360,{{retext|Lifebuoy|orange,/kb/gear/icons/Poseidon_s_Blessing.png,False
poseidon_s_trident,Poseidon's Trident,red,600,300,60,60,Crit DMG +12%<br>Lifesteal Effect +60%,{{retext|Trident|orange,/kb/gear/icons/Poseidon_s_Trident.png,False
power_spinach,Power Spinach,red,600,60,60,300,"Each round, Snail RUSH +48<br>Snail ATK +48",{{retext|Hammer of Frenzy|orange,/kb/gear/icons/Power_Spinach.png,False
rama_greataxe,Rama Greataxe,red,600,180,60,180,"In [[Bharata]], Snail ATK +150<br>In [[Bharata]], Snail RUSH +150<br>In [[Bharata]], Snail DMG +12%<br>In [[Bharata]], INTEL gained +12%",{{retext|Ashoka's Sword|orange,/kb/gear/icons/Rama_Greataxe.png,False
ring_of_paralysis,Ring of Paralysis,red,600,60,60,300,Chance to Paralysis enemy +7.2%,{{retext|Ring of Stupor|orange,/kb/gear/icons/Ring_of_Paralysis.png,False
selene_amulet,Selene Amulet,red,1200,120,120,120,Snail ART +240,{{retext|Elven Cape|orange,/kb/gear/icons/Selene_Amulet.png,False
septreasure_peacock_quill,Septreasure Peacock Quill,red,600,300,60,300,"For Round 1, CRIT DMG +12%<br>When exploring, DMG +18% in Round 1",{{retext|Peacock Quill|orange,/kb/gear/icons/Septreasure_Peacock_Quill.png,False
seraph_s_light,Seraph's Light,red,1800,60,60,180,In Angel Form: Angel Cells +12%<br>Fungus Chests +12% in exploration,{{retext|Prayer Staff|orange,/kb/gear/icons/Seraph_s_Light.png,False
serket_staff,Serket Staff,red,1800,180,60,60,In Zombie Form: Zombie Cells +12%<br>Evolution Chests +12% in exploration,{{retext|Undead Staff|orange,/kb/gear/icons/Serket_Staff.png,False
sky_piercer,Sky Piercer,red,600,180,60,180,"In [[Cathay]], Snail ATK +120<br>In [[Cathay]], Snail RUSH +120<br>In [[Cathay]], DMG +12%<br>In [[Cathay]], INTEL gained +12%",{{retext|Conqueror Spear|orange,/kb/gear/icons/Sky_Piercer.png,False
soul_reaper,Soul Reaper,red,600,180,180,60,In Demon: Demon Cells +12%<br>Soul Chests +12% in exploration,{{retext|Demon Scythe|orange,/kb/gear/icons/Soul_Reaper.png,False
soul_walking,Soul Walking,red,1800,180,60,60,"In Zombie Form, Ignore DEF +12%",{{retext|The Buried|orange,/kb/gear/icons/Soul_Walking.png,False
spacetime_exile,Spacetime Exile,red,600,180,60,180,In the [[Time Rift,"Rift]], Snail ATK +150<br>In the [[Time Rift",/kb/gear/icons/Spacetime_Exile.png,False
strength_master_s_sword,Strength Master's Sword,red,600,300,60,60,"In any Realm, DMG +18%<br>In any Realm, DMG +12% in Round 1",{{retext|Strength Sword|orange,/kb/gear/icons/Strength_Master_s_Sword.png,False
subspace_blade,Subspace Blade,red,600,180,60,180,In Mutant form: Mutant Cells +12%<br>Time Chests +12% in exploration,{{retext|Mind Control Dagger|orange,/kb/gear/icons/Subspace_Blade.png,False
super_warrior,Super Warrior,red,600,60,300,60,CRIT DMG REDUC +12%,{{retext|Chief|orange,/kb/gear/icons/Super_Warrior.png,False
sword_futsuno,Sword Futsuno,red,600,180,60,180,"In [[Yamato]], Snail ATK +120<br>In [[Yamato]], Snail RUSH +120<br>In [[Yamato]], DMG +12%<br>In [[Yamato]], INTEL gained +12%",{{retext|Blade Murasame|orange,/kb/gear/icons/Sword_Futsuno.png,False
the_great_collector,The Great Collector,red,1800,60,180,60,"Enemies in exploration drop +24 W-tads<br>(Only when you are really lucky!)<br>Tadpoles Gained: 110,000",{{retext|Curator's Helm|orange,/kb/gear/icons/The_Great_Collector.png,False
the_great_engineer,The Great Engineer,red,600,60,60,300,Upon traveling through an area: Gain 120 Intel,{{retext|Gear Ring|orange,/kb/gear/icons/The_Great_Engineer.png,False
